                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.57733,                0.50082,                0.97001,                0.53591,                0.74627,                0.72341,                0.57671,                0.88068,                 5.1489,                 1.3429,              0.0095347,              0.0095347,              0.0095347
                     49,                0.56869,                 0.5087,                0.95227,                0.40844,                0.59701,                0.48097,                  0.356,                 1.0635,                 6.1233,                  1.627,              0.0095248,              0.0095248,              0.0095248
                     50,                0.61513,                0.51273,                0.97172,                0.37411,                0.55224,                0.48943,                0.39337,                0.91941,                  5.847,                 1.3537,              0.0095149,              0.0095149,              0.0095149
                     51,                0.55767,                0.50232,                0.97317,                0.73401,                0.50746,                0.56083,                 0.4584,                 1.0006,                 3.2571,                 1.4788,               0.009505,               0.009505,               0.009505
                     52,                0.62593,                0.53064,                  1.001,                0.58954,                0.43284,                 0.4296,                0.35258,                 1.0731,                 3.9271,                 1.4708,              0.0094951,              0.0094951,              0.0094951
                     53,                0.59038,                0.54275,                0.97248,                0.64099,                0.45309,                0.50599,                0.38162,                 1.2546,                 2.3473,                 1.6077,              0.0094852,              0.0094852,              0.0094852
                     54,                0.58817,                0.49898,                0.98994,                0.71228,                0.64179,                0.66934,                0.49932,                0.95355,                 2.0432,                 1.3586,              0.0094753,              0.0094753,              0.0094753
                     55,                  0.587,                0.47391,                0.97806,                0.75829,                0.62687,                0.74193,                0.58107,                0.89211,                 1.2155,                 1.3486,              0.0094654,              0.0094654,              0.0094654
                     56,                0.58162,                0.49224,                0.99583,                0.88857,                0.71642,                 0.7929,                0.60477,                0.96958,                 1.3005,                 1.3962,              0.0094555,              0.0094555,              0.0094555
                     57,                0.60057,                0.52622,                0.97769,                0.85924,                0.74627,                0.81058,                 0.6234,                0.93275,                 1.1425,                 1.4365,              0.0094456,              0.0094456,              0.0094456
                     58,                0.59664,                0.50585,                0.95012,                0.88961,                0.65672,                 0.7863,                0.63461,                0.92377,                  1.098,                 1.3789,              0.0094357,              0.0094357,              0.0094357
                     59,                0.55719,                0.46696,                0.97215,                0.80938,                0.76119,                0.82702,                0.59542,                0.97129,                 1.9565,                 1.4666,              0.0094258,              0.0094258,              0.0094258
                     60,                0.57306,                0.44656,                0.97158,                0.77854,                0.70149,                0.74091,                 0.5365,                0.95361,                 2.5395,                  1.444,              0.0094159,              0.0094159,              0.0094159
                     61,                0.55532,                0.43982,                0.96631,                0.80269,                0.54655,                 0.5833,                0.40067,                 1.0882,                 4.9619,                 1.4951,               0.009406,               0.009406,               0.009406
                     62,                0.57256,                0.46201,                0.96545,                0.86632,                0.41791,                0.46648,                0.38682,                0.99527,                 2.4792,                 1.3867,              0.0093961,              0.0093961,              0.0093961
                     63,                0.57257,                 0.4615,                0.95747,                0.86773,                0.52239,                0.58306,                0.47969,                0.87061,                 1.7915,                 1.2818,              0.0093862,              0.0093862,              0.0093862
                     64,                0.54224,                0.43849,                0.95325,                0.90497,                0.71642,                0.74995,                0.59256,                 0.8966,                 1.4033,                 1.3373,              0.0093763,              0.0093763,              0.0093763
                     65,                0.57661,                 0.4778,                0.95634,                0.84821,                0.77612,                0.80126,                0.64635,                0.81716,                 1.1361,                 1.2845,              0.0093664,              0.0093664,              0.0093664
                     66,                0.53327,                0.42975,                 0.9343,                0.76982,                0.79873,                0.81983,                0.65068,                0.83937,                 1.6972,                 1.3107,              0.0093565,              0.0093565,              0.0093565
                     67,                0.59471,                0.48058,                0.96236,                0.87633,                0.74043,                0.82132,                0.62482,                0.88768,                 1.7087,                 1.3456,              0.0093466,              0.0093466,              0.0093466
                     68,                0.57111,                0.46807,                0.96974,                0.81799,                0.71642,                0.79191,                0.60172,                0.95128,                 1.8151,                 1.3744,              0.0093367,              0.0093367,              0.0093367
                     69,                0.56001,                0.48061,                0.93813,                0.82983,                0.70149,                0.77694,                0.60362,                0.83094,                  1.765,                 1.2593,              0.0093268,              0.0093268,              0.0093268
                     70,                0.55486,                0.46916,                0.95857,                0.82059,                0.64179,                0.68917,                0.49638,                 1.1526,                 1.3995,                 1.5355,              0.0093169,              0.0093169,              0.0093169
                     71,                0.56945,                0.45518,                 0.9736,                0.78534,                0.73134,                0.79086,                0.61794,                0.84318,                 1.6207,                 1.2749,               0.009307,               0.009307,               0.009307
                     72,                0.52556,                 0.4325,                0.94408,                0.86774,                0.74627,                0.80222,                 0.6388,                0.89156,                 1.3332,                 1.2948,              0.0092971,              0.0092971,              0.0092971
                     73,                0.53519,                0.43697,                0.93384,                0.88298,                0.74627,                 0.8011,                0.62975,                0.92111,                 1.1379,                 1.3032,              0.0092872,              0.0092872,              0.0092872
                     74,                0.55434,                0.43364,                0.96628,                0.88832,                0.79104,                0.87364,                0.68005,                0.82497,                 1.0578,                 1.2569,              0.0092773,              0.0092773,              0.0092773
                     75,                0.51757,                0.40778,                0.93225,                0.92039,                0.86567,                0.88395,                 0.6874,                0.87788,                 1.0902,                 1.2989,              0.0092674,              0.0092674,              0.0092674
                     76,                0.55264,                 0.4526,                0.94779,                0.92146,                0.79104,                0.82457,                  0.646,                 0.8485,                  1.218,                 1.2931,              0.0092575,              0.0092575,              0.0092575
                     77,                0.53874,                0.45953,                0.95686,                0.87552,                0.83984,                0.85546,                0.65306,                0.84502,                 1.0094,                 1.2616,              0.0092476,              0.0092476,              0.0092476
                     78,                0.54934,                0.42515,                0.97896,                0.94237,                0.77612,                0.84007,                0.63067,                0.84768,                 1.2144,                 1.2851,              0.0092377,              0.0092377,              0.0092377
                     79,                0.52959,                0.39666,                0.94768,                0.88639,                0.81521,                0.85824,                0.68525,                0.83363,                0.89356,                 1.3006,              0.0092278,              0.0092278,              0.0092278
                     80,                0.56452,                0.45143,                0.98613,                0.92283,                 0.8209,                0.87701,                0.67493,                0.80838,                0.83516,                 1.3019,              0.0092179,              0.0092179,              0.0092179
                     81,                0.56493,                0.47239,                0.94456,                0.85999,                0.82511,                0.85384,                  0.648,                0.91002,                0.95482,                 1.3087,               0.009208,               0.009208,               0.009208
                     82,                0.51477,                0.42683,                0.94402,                0.88108,                0.77411,                0.80425,                0.63853,                0.95784,                 1.0119,                 1.3697,              0.0091981,              0.0091981,              0.0091981
                     83,                0.57576,                0.46405,                0.95669,                 0.9076,                0.85075,                0.86456,                0.68875,                0.79164,                0.83956,                 1.2502,              0.0091882,              0.0091882,              0.0091882
                     84,                0.51275,                0.45123,                0.95181,                0.92981,                0.79093,                0.87055,                0.66152,                0.88774,                0.89716,                  1.375,              0.0091783,              0.0091783,              0.0091783
                     85,                0.53273,                0.43884,                0.94092,                0.94872,                0.82848,                0.88543,                0.69266,                0.75742,                  0.948,                 1.2408,              0.0091684,              0.0091684,              0.0091684
                     86,                0.51194,                0.41691,                0.91693,                  0.859,                0.79104,                0.82101,                0.63998,                0.86111,                  1.281,                 1.3451,              0.0091585,              0.0091585,              0.0091585
                     87,                 0.5379,                0.41318,                 0.9476,                0.78745,                0.71642,                0.76694,                0.61537,                0.83702,                  1.264,                 1.2571,              0.0091486,              0.0091486,              0.0091486
                     88,                0.53746,                0.44042,                0.95142,                0.87312,                0.74627,                0.80092,                0.62647,                0.79744,                 1.2505,                 1.2824,              0.0091387,              0.0091387,              0.0091387
                     89,                0.51369,                0.43006,                0.94692,                0.83183,                0.73833,                0.76794,                0.57583,                0.80652,                 1.4113,                  1.247,              0.0091288,              0.0091288,              0.0091288
                     90,                0.52874,                0.41594,                0.94397,                0.92103,                0.76119,                0.79841,                0.60851,                0.79876,                 1.2155,                  1.253,              0.0091189,              0.0091189,              0.0091189
                     91,                0.51648,                0.41796,                0.94242,                0.92678,                0.75572,                0.81686,                 0.6697,                0.75845,                 1.0247,                 1.2134,               0.009109,               0.009109,               0.009109
                     92,                0.51279,                0.41774,                0.93888,                0.91224,                0.67164,                0.73388,                0.55005,                 0.8894,                 1.3418,                 1.3768,              0.0090991,              0.0090991,              0.0090991
                     93,                0.53819,                0.41726,                0.94864,                 0.9387,                0.68567,                0.75749,                0.56416,                0.89724,                 1.0739,                 1.3796,              0.0090892,              0.0090892,              0.0090892
                     94,                0.51347,                0.42824,                0.94214,                 0.9057,                0.65672,                0.76031,                0.56115,                0.88471,                  1.287,                 1.3736,              0.0090793,              0.0090793,              0.0090793
                     95,                0.47894,                0.41874,                0.91754,                0.91641,                0.49094,                0.58594,                0.41524,                 1.2496,                 2.0395,                 1.7025,              0.0090694,              0.0090694,              0.0090694
                     96,                0.51482,                0.43359,                0.95147,                0.89137,                0.73491,                0.78549,                0.60167,                0.82861,                  1.018,                 1.2937,              0.0090595,              0.0090595,              0.0090595
                     97,                0.49416,                0.42597,                0.93876,                0.94366,                0.77612,                0.85061,                0.68674,                0.73301,                0.93785,                 1.1899,              0.0090496,              0.0090496,              0.0090496
                     98,                0.49768,                0.39866,                0.92842,                 0.8865,                0.79104,                0.84384,                 0.6983,                0.73373,                0.90898,                 1.2301,              0.0090397,              0.0090397,              0.0090397
                     99,                0.50262,                0.41257,                0.93817,                0.88612,                0.73134,                 0.7628,                0.60932,                0.83136,                 1.2007,                 1.3684,              0.0090298,              0.0090298,              0.0090298
                    100,                  0.479,                0.39833,                0.91283,                0.96609,                0.70149,                0.79466,                0.64621,                0.79107,                0.91984,                 1.3129,              0.0090199,              0.0090199,              0.0090199
                    101,                0.47306,                0.42754,                0.91559,                 0.9423,                 0.7313,                0.80288,                0.63396,                0.80414,                 1.0649,                 1.2888,                0.00901,                0.00901,                0.00901
                    102,                0.49264,                0.42477,                0.94473,                0.90669,                0.77612,                0.84321,                 0.6747,                0.79261,                0.96465,                 1.2677,              0.0090001,              0.0090001,              0.0090001
                    103,                0.49523,                0.40122,                0.92929,                0.87471,                0.72943,                0.79904,                 0.6099,                0.86781,                 1.1061,                  1.376,              0.0089902,              0.0089902,              0.0089902
                    104,                0.50844,                0.42381,                0.95196,                0.74783,                0.61973,                0.68501,                0.48958,                 1.0233,                 1.7408,                 1.5385,              0.0089803,              0.0089803,              0.0089803
                    105,                0.48606,                0.41426,                0.92359,                0.92601,                0.74723,                0.81362,                0.64053,                0.79318,                0.87943,                 1.2193,              0.0089704,              0.0089704,              0.0089704
                    106,                0.46023,                0.38905,                0.93572,                 0.9307,                 0.8019,                0.85338,                0.67812,                0.72473,                 0.7494,                 1.1648,              0.0089605,              0.0089605,              0.0089605
                    107,                0.49964,                0.40135,                0.93578,                0.87654,                0.85075,                0.88221,                0.71129,                0.69942,                 0.7438,                 1.1559,              0.0089506,              0.0089506,              0.0089506
                    108,                0.50841,                0.41239,                0.93506,                0.93428,                0.84871,                0.89705,                0.69198,                0.80167,                0.74918,                 1.2474,              0.0089407,              0.0089407,              0.0089407
